upjong1cd,upjong1nm,upjong2cd,upjong2nm,upjong3cd,upjong3nm,storeCnt
I,숙박·음식,I55,숙박업,I551002,여관업,12132
I,숙박·음식,I55,숙박업,I551003,캠프/별장/펜션,2102
I,숙박·음식,I55,숙박업,I551001,호텔/콘도,958
I,숙박·음식,I55,숙박업,I559001,기숙사 및 고시원 운영업,325
I,숙박·음식,I55,숙박업,I551005,민박/하숙,0
I,숙박·음식,I55,숙박업,I551004,유스호스텔,0
I,숙박·음식,I56,음식점 및 주점업,I561102,한식/백반/한정식,127868
I,숙박·음식,I56,음식점 및 주점업,I562201,커피전문점/카페/다방,68590
I,숙박·음식,I56,음식점 및 주점업,I561913,후라이드/양념치킨,38431
I,숙박·음식,I56,음식점 및 주점업,I561133,갈비/삼겹살,33951
I,숙박·음식,I56,음식점 및 주점업,I562109,호프/맥주,27459
I,숙박·음식,I56,음식점 및 주점업,I561914,라면김밥분식,20259
I,숙박·음식,I56,음식점 및 주점업,I561201,중국음식/중국집,20240
I,숙박·음식,I56,음식점 및 주점업,I561215,횟집,17824
I,숙박·음식,I56,음식점 및 주점업,I561903,제과점,14586
I,숙박·음식,I56,음식점 및 주점업,I561129,국수/만두/칼국수,13611
I,숙박·음식,I56,음식점 및 주점업,I561108,해장국/감자탕,12128
I,숙박·음식,I56,음식점 및 주점업,I562111,소주방/포장마차,10175
I,숙박·음식,I56,음식점 및 주점업,I561131,족발/보쌈전문,9738
I,숙박·음식,I56,음식점 및 주점업,I561908,피자전문,9634
I,숙박·음식,I56,음식점 및 주점업,I561904,떡/한과집,9612
I,숙박·음식,I56,음식점 및 주점업,I561916,떡볶이전문,7212
I,숙박·음식,I56,음식점 및 주점업,I561223,정통양식/경양식,6933
I,숙박·음식,I56,음식점 및 주점업,I562103,기타일반유흥주점,6688
I,숙박·음식,I56,음식점 및 주점업,I561204,음식점-일식,6456
I,숙박·음식,I56,음식점 및 주점업,I561119,순대전문,6135
I,숙박·음식,I56,음식점 및 주점업,I561132,곱창/양구이전문,5965
I,숙박·음식,I56,음식점 및 주점업,I562110,꼬치구이전문점,5369
I,숙박·음식,I56,음식점 및 주점업,I561225,돈가스전문,4859
I,숙박·음식,I56,음식점 및 주점업,I561106,부대찌개/섞어찌개,4447
I,숙박·음식,I56,음식점 및 주점업,I561905,찐빵전문,4323
I,숙박·음식,I56,음식점 및 주점업,I561214,낙지/오징어,4221
I,숙박·음식,I56,음식점 및 주점업,I561205,음식점-초밥전문,3670
I,숙박·음식,I56,음식점 및 주점업,I562108,룸살롱/단란주점,3639
I,숙박·음식,I56,음식점 및 주점업,I561920,햄버거전문,3238
I,숙박·음식,I56,음식점 및 주점업,I561219,곰장어전문,3149
I,숙박·음식,I56,음식점 및 주점업,I561105,추어탕전문,2980
I,숙박·음식,I56,음식점 및 주점업,I561137,닭갈비전문,2963
I,숙박·음식,I56,음식점 및 주점업,I561128,냉면전문,2954
I,숙박·음식,I56,음식점 및 주점업,I561104,설렁탕전문,2935
I,숙박·음식,I56,음식점 및 주점업,I561216,매운탕전문,2803
I,숙박·음식,I56,음식점 및 주점업,I561140,닭내장/닭발요리,2656
I,숙박·음식,I56,음식점 및 주점업,I561211,아구전문,2604
I,숙박·음식,I56,음식점 및 주점업,I561213,참치전문,2562
I,숙박·음식,I56,음식점 및 주점업,I561136,삼계탕전문,2339
I,숙박·음식,I56,음식점 및 주점업,I561141,찜닭전문,2285
I,숙박·음식,I56,음식점 및 주점업,I561118,죽전문,2283
I,숙박·음식,I56,음식점 및 주점업,I561138,오리고기전문,2251
I,숙박·음식,I56,음식점 및 주점업,I561917,도시락전문,2087
I,숙박·음식,I56,음식점 및 주점업,I561232,동남아음식전문점,1905
I,숙박·음식,I56,음식점 및 주점업,I561910,샌드위치전문,1764
I,숙박·음식,I56,음식점 및 주점업,I561911,토스트전문,1615
I,숙박·음식,I56,음식점 및 주점업,I562114,민속주점,1512
I,숙박·음식,I56,음식점 및 주점업,I561121,샤브샤브전문,1511
I,숙박·음식,I56,음식점 및 주점업,I561206,해물찜/탕전문,1417
I,숙박·음식,I56,음식점 및 주점업,I561116,파전전문,1396
I,숙박·음식,I56,음식점 및 주점업,I561114,두부요리전문,1369
I,숙박·음식,I56,음식점 및 주점업,I561228,스파게티전문,1204
I,숙박·음식,I56,음식점 및 주점업,I561130,우동전문,1129
