상권분석(8대업종),대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명
O,Q,음식,Q05,닭/오리요리,Q05A01,삼계탕전문
O,Q,음식,Q05,닭/오리요리,Q05A02,닭갈비전문
O,Q,음식,Q01,한식,Q01A16,보리밥전문
O,Q,음식,Q05,닭/오리요리,Q05A09,오리고기전문
O,Q,음식,Q05,닭/오리요리,Q05A07,토종닭전문
O,Q,음식,Q05,닭/오리요리,Q05A10,닭내장/닭발요리
O,Q,음식,Q01,한식,Q01A06,돌솥/비빕밥전문점
O,Q,음식,Q01,한식,Q01A17,버섯전문점
O,Q,음식,Q01,한식,Q01A10,쌈밥전문
O,Q,음식,Q05,닭/오리요리,Q05A04,찜닭전문점
O,Q,음식,Q01,한식,Q01A18,황태전문
O,Q,음식,Q01,한식,Q01A11,두부요리전문
O,Q,음식,Q03,일식/수산물,Q03A05,해물찜/탕전문
O,Q,음식,Q01,한식,Q01A12,재첩국전문
O,Q,음식,Q03,일식/수산물,Q03A18,게장전문
O,Q,음식,Q05,닭/오리요리,Q05A05,불닭전문
O,Q,음식,Q05,닭/오리요리,Q05A06,옻닭전문
O,Q,음식,Q06,양식,Q06A02,돈가스전문점
O,Q,음식,Q06,양식,Q06A03,카레전문점
O,Q,음식,Q06,양식,Q06A08,스테이크전문점
O,Q,음식,Q06,양식,Q06A04,스파게티전문점
O,Q,음식,Q06,양식,Q06A07,기타전문서양음식점
O,Q,음식,Q04,분식,Q04A05,스낵
O,Q,음식,Q04,분식,Q04A03,떡볶이전문
O,Q,음식,Q04,분식,Q04A04,우동전문점
O,Q,음식,Q01,한식,Q01A13,파전전문
O,Q,음식,Q07,패스트푸드,Q07A10,토스트전문
O,Q,음식,Q15,부페,Q15A01,종합부페
O,Q,음식,Q15,부페,Q15A02,고기부페
O,Q,음식,Q15,부페,Q15A03,한식부페
O,Q,음식,Q15,부페,Q15A04,채식/한식부페
O,Q,음식,Q15,부페,Q15A05,해물부페
O,Q,음식,Q03,일식/수산물,Q03A19,홍어전문
O,Q,음식,Q14,기타음식업,Q14A01,구내식당/자급식음식점
O,Q,음식,Q03,일식/수산물,Q03A99,수산물전문음식점-종합
O,Q,음식,Q03,일식/수산물,Q03A20,복전문
O,Q,음식,Q03,일식/수산물,Q03A06,아구전문
O,Q,음식,Q03,일식/수산물,Q03A07,민물장어전문
O,Q,음식,Q03,일식/수산물,Q03A04,참치전문점
O,Q,음식,Q03,일식/수산물,Q03A13,낙지/오징어
O,Q,음식,Q01,한식,Q01A01,한식/백반/한정식
O,Q,음식,Q04,분식,Q04A01,라면김밥분식
O,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수
O,Q,음식,Q03,일식/수산물,Q03A11,갈치/생선구이
O,Q,음식,Q08,제과제빵떡케익,Q08A03,떡전문
O,Q,음식,Q08,제과제빵떡케익,Q08A01,제과점
O,Q,음식,Q07,패스트푸드,Q07A03,핫도그
O,Q,음식,Q08,제과제빵떡케익,Q08A04,떡/한과집
O,Q,음식,Q08,제과제빵떡케익,Q08A05,찐빵전문
O,Q,음식,Q07,패스트푸드,Q07A09,생과자점
O,Q,음식,Q07,패스트푸드,Q07A07,아이스크림판매
O,Q,음식,Q08,제과제빵떡케익,Q08A02,케익전문점
